peptide_id,source,length,score,label,avg_ep,max_ep,max_lin_ep
657092,legacy_uniprot_all_2021,28,0.25170037,Epitope,0.2517,0.3413,0.2876
657093,legacy_uniprot_all_2021,30,0.22694941,Epitope,0.2269,0.3248,0.2567
657098,legacy_uniprot_all_2021,29,0.18637142,Epitope,0.1864,0.2794,0.2121
657100,legacy_uniprot_all_2021,21,0.24756314,Epitope,0.2476,0.3248,0.2711
657101,legacy_uniprot_all_2021,16,0.23432422,Epitope,0.2343,0.3095,0.2555
657102,legacy_uniprot_all_2021,24,0.27242848,Epitope,0.2724,0.3635,0.3043
657105,legacy_uniprot_all_2021,14,0.22224823,Epitope,0.2222,0.2959,0.2689
657106,legacy_uniprot_all_2021,9,0.300675,Epitope,0.3007,0.3593,0.3307
657108,legacy_uniprot_all_2021,15,0.27951556,Epitope,0.2795,0.336,0.3084
657109,legacy_uniprot_all_2021,30,0.1736636,Epitope,0.1737,0.2602,0.2
657111,legacy_uniprot_all_2021,28,0.21869946,Epitope,0.2187,0.3034,0.2561
657112,legacy_uniprot_all_2021,21,0.2553096,Epitope,0.2553,0.3485,0.297
657113,legacy_uniprot_all_2021,29,0.22576246,Epitope,0.2258,0.3117,0.2567
657115,legacy_uniprot_all_2021,26,0.25975192,Epitope,0.2598,0.346,0.2864
657117,legacy_uniprot_all_2021,30,0.17570113,Epitope,0.1757,0.3256,0.2213
657119,legacy_uniprot_all_2021,21,0.2729633,Epitope,0.273,0.3562,0.298
657120,legacy_uniprot_all_2021,29,0.18974213,Epitope,0.1897,0.297,0.2566
657125,legacy_uniprot_all_2021,28,0.2478926,Epitope,0.2479,0.344,0.2971
657126,legacy_uniprot_all_2021,9,0.20143087,Epitope,0.2014,0.2505,0.2111
657129,legacy_uniprot_all_2021,26,0.29281852,Epitope,0.2928,0.3764,0.3588
657131,legacy_uniprot_all_2021,30,0.20785359,Epitope,0.2079,0.304,0.2337
657132,legacy_uniprot_all_2021,27,0.15178525,Epitope,0.1518,0.2593,0.1844
657135,legacy_uniprot_all_2021,30,0.26778367,Epitope,0.2678,0.3389,0.3001
657136,legacy_uniprot_all_2021,21,0.24018422,Epitope,0.2402,0.3373,0.2792
657138,legacy_uniprot_all_2021,29,0.1798674,Epitope,0.1799,0.2751,0.2196
657139,legacy_uniprot_all_2021,22,0.18261838,Epitope,0.1826,0.2869,0.2077
